NAME,FIRSTREF,FIRSTURL,DATE,NUM_OBS,MASS(mjupiter),RADIUS(rjupiter),PERIOD(day),ECCENTRICITY,SEMI_MAJOR_AXIS(AU),SEPARATION(AU),STAR_NAME,DIST(PARSEC),RA_STRING(h:m:s),DEC_STRING(d:m:s),STAR_MASS(msun),STAR_RADIUS(rsun)
GJ 876 b,Delfosse 1998 ; Marcy 1998,http://adsabs.harvard.edu/abs/1998A%26A...338L..67D ; http://adsabs.harvard.edu/abs/1998ApJ...505L.147M,1998,155,1.9469,,61.1166,0.0324,0.208098,0.208098,GJ 876,4.68867,+22:53:16.16,-14:15:43.41,0.32,
upsilon And c,Butler 1999,http://adsabs.harvard.edu/abs/1999ApJ...526..916B,1999,284,1.91855,,241.33335,0.223848,0.830445,0.830445,upsilon And,13.4916,+01:36:47.98,+41:24:22.99,1.31,1.383
HD 210277 b,Marcy 1999,http://adsabs.harvard.edu/abs/1999ApJ...520..239M,1999,69,1.27275,,442.19,0.476,1.13105,1.13105,HD 210277,21.561,+22:09:29.82,-07:32:51.22,0.986,0.939154
HD 195019 b,Fischer 1999,http://adsabs.harvard.edu/abs/1999PASP..111...50F,1999,154,3.57989,,18.20132,0.0138,0.136688,0.136688,HD 195019,38.5208,+20:28:18.42,+18:46:10.68,1.025,1.34728
HD 217107 b,Fischer 1999,http://adsabs.harvard.edu/abs/1999PASP..111...50F,1999,207,1.40112,,7.1268163,0.126686,0.0750282,0.0750282,HD 217107,19.857,+22:58:15.54,-02:23:43.25,1.108,1.5
HD 168443 b,Marcy 1999,http://adsabs.harvard.edu/abs/1999ApJ...520..239M,1999,130,7.69745,,58.11247,0.52883,0.29385,0.29385,HD 168443,37.4252,+18:20:03.99,-09:35:42.64,0.995,1.58859
upsilon And d,Butler 1999,http://adsabs.harvard.edu/abs/1999ApJ...526..916B,1999,284,4.11582,,1278.1218,0.267395,2.52452,2.52452,upsilon And,13.4916,+01:36:47.98,+41:24:22.99,1.31,1.383
HD 134987 b,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,2000,93,1.56347,,258.18,0.233,0.807929,0.807929,HD 134987,26.2055,+15:13:28.93,-25:18:32.99,1.054,1.16572
HD 192263 b,Santos 2000,http://adsabs.harvard.edu/abs/2000A%26A...356..599S,2000,31,0.639382,,24.3556,0.055,0.152945,0.152945,HD 192263,19.3162,+20:13:59.88,-00:52:03.05,0.804,0.7401
HD 130322 b,Udry 2000,http://adsabs.harvard.edu/abs/2000A%26A...356..590U,2000,47,1.04309,,10.7085,0.011,0.0896052,0.0896052,HD 130322,31.7058,+14:47:32.80,-00:16:52.08,0.836,0.986573
HD 52265 b,Butler 2000,http://adsabs.harvard.edu/abs/2000ApJ...545..504B,2000,28,1.07139,,119.29,0.325,0.499878,0.499878,HD 52265,28.9603,+07:00:18.10,-05:22:02.49,1.17,1.34703
iota Hor b,Kurster 2000,http://adsabs.harvard.edu/abs/2000A%26A...353L..33K,2000,25,2.04683,,302.8,0.14,0.92376,0.92376,iota Hor,17.1674,+02:42:33.16,-50:48:02.98,1.145,1.21047
HD 37124 b,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,2000,66,0.674371,,154.378,0.054,0.533637,0.533637,HD 37124,33.67,+05:37:02.54,+20:43:54.51,0.85,0.772275
epsilon Eri b,Hatzes 2000,http://adsabs.harvard.edu/abs/2000ApJ...544L.145H,2000,120,1.05448,,2500,0.25,3.37558,3.37558,epsilon Eri,3.21605,+03:32:56.42,-09:27:29.90,0.82,0.74
BD -10 3166 b,Butler 2000,http://adsabs.harvard.edu/abs/2000ApJ...545..504B,2000,31,0.429903,,3.48777,0.019,0.0437823,0.0437823,BD -10 3166,80,10:58:28.780,-10:46:13.3,0.92,0.745254
HD 10697 b,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,2000,131,6.23505,,1075.2,0.099,2.13177,2.13177,HD 10697,32.5733,+01:44:55.85,+20:05:00.26,1.112,1.54131
HD 75289 b,Udry 2000,http://adsabs.harvard.edu/abs/2000A%26A...356..590U,2000,30,0.46004,,3.509267,0.034,0.047858,0.047858,HD 75289,29.146,+08:47:40.41,-41:44:10.46,1.187,1.23372
GJ 86 b,Queloz 2000,http://adsabs.harvard.edu/abs/2000A%26A...354...99Q,2000,42,4.00104,,15.76491,0.0416,0.114217,0.114217,GJ 86,10.7828,+02:10:24.00,-50:49:31.13,0.796,0.748264
HD 89744 b,Korzennik 2000,http://adsabs.harvard.edu/abs/2000ApJ...533L.147K,2000,92,8.18778,,256.78,0.673,0.902604,0.902604,HD 89744,39.4322,+10:22:10.66,+41:13:47.52,1.48,2.02329
HD 209458 b,Henry 2000 ; Charbonneau 2000,http://adsabs.harvard.edu/abs/2000ApJ...529L..41H ; http://adsabs.harvard.edu/abs/2000ApJ...529L..45C,2000,64,0.689646,1.359,3.52474859,0,0.047235,0.047235,HD 209458,49.6278,+22:03:10.75,+18:53:03.71,1.131,1.155
HD 46375 b,Marcy 2000,http://adsabs.harvard.edu/abs/2000ApJ...536L..43M,2000,50,0.227201,,3.023573,0.063,0.0399038,0.0399038,HD 46375,34.8189,+06:33:12.56,+05:27:47.38,0.927,0.863012
HD 177830 b,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,2000,54,1.31967,,410.1,0.096,1.13872,1.13872,HD 177830,59.0319,+19:05:20.80,+25:55:14.83,1.17,3.99397
HD 222582 b,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,2000,37,7.63003,,572.38,0.725,1.33658,1.33658,HD 222582,41.7711,+23:41:51.62,-05:59:07.75,0.965,1.13737
HD 16141 b,Marcy 2000,http://adsabs.harvard.edu/abs/2000ApJ...536L..43M,2000,71,0.249652,,75.523,0.252,0.355656,0.355656,HD 16141,38.956,+02:35:20.02,-03:33:34.34,1.052,2.05
HD 187123 c,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,2000,76,1.9422,,3805.6705,0.252086,4.83146,4.83146,HD 187123,48.2626,+19:46:58.01,+34:25:11.37,1.037,1.14277
HD 134987 c,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,2000,93,0.804926,,5000,0.12,5.82513,5.82513,HD 134987,26.2055,+15:13:28.93,-25:18:32.99,1.054,1.16572
HD 80606 b,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375L..27N,2001,46,3.89054,1.029,111.4367,0.934,0.447343,0.447343,HD 80606,58.4795,+09:22:37.53,+50:36:13.34,0.958,0.98
epsilon Ret b,Butler 2001,http://adsabs.harvard.edu/abs/2001ApJ...555..410B,2001,55,1.37669,,428.1,0.06,1.19471,1.19471,epsilon Ret,18.2382,+04:16:29.08,-59:18:06.30,1.24,3.51559
HD 179949 b,Tinney 2001,http://adsabs.harvard.edu/abs/2001ApJ...551..507T,2001,88,0.902075,,3.092514,0.022,0.0439208,0.0439208,HD 179949,27.5482,+19:15:33.15,-24:10:44.78,1.181,1.22645
HD 28185 b,Santos 2001,http://adsabs.harvard.edu/abs/2001A%26A...379..999S,2001,15,5.79721,,379,0.05,1.02341,1.02341,HD 28185,42.337,+04:26:26.27,-10:33:02.43,0.99,1.00685
HD 92788 b,Fischer 2001,http://adsabs.harvard.edu/abs/2001ApJ...551.1107F,2001,58,3.56392,,325.81,0.334,0.951142,0.951142,HD 92788,35.461,+10:42:48.54,-02:10:59.57,1.078,0.813756
HD 169830 b,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375..205N,2001,112,2.88946,,225.62,0.31,0.813279,0.813279,HD 169830,36.6032,+18:27:49.48,-29:49:00.85,1.407,1.80318
mu Ara b,Butler 2001,http://adsabs.harvard.edu/abs/2001ApJ...555..410B,2001,170,1.74552,,643.25,0.128,1.5273,1.5273,mu Ara,15.5111,+17:44:08.72,-51:50:00.92,1.147,1.25035
GJ 876 c,Marcy 2001,http://adsabs.harvard.edu/abs/2001ApJ...556..296M,2001,155,0.612168,,30.0881,0.25591,0.129574,0.129574,GJ 876,4.68867,+22:53:16.16,-14:15:43.41,0.32,
HD 168443 c,Marcy 2001,http://adsabs.harvard.edu/abs/2001ApJ...555..418M,2001,130,17.3857,,1749.83,0.2113,2.85281,2.85281,HD 168443,37.4252,+18:20:03.99,-09:35:42.64,0.995,1.58859
HD 38529 b,Fischer 2001,http://adsabs.harvard.edu/abs/2001ApJ...551.1107F,2001,175,0.803263,,14.310195,0.243663,0.1272,0.1272,HD 38529,39.2773,+05:46:34.96,+01:10:06.74,1.34,2.02418
HD 1237 b,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375..205N,2001,61,3.3748,,133.71001,0.511,0.494668,0.494668,HD 1237,17.4978,+00:16:11.24,-79:51:03.75,0.9,0.858011
HD 12661 b,Fischer 2001,http://adsabs.harvard.edu/abs/2001ApJ...551.1107F,2001,107,2.3408,,262.70861,0.376834,0.838172,0.838172,HD 12661,34.9528,+02:04:34.36,+25:24:53.03,1.136,1.06782
HD 213240 b,Santos 2001,http://adsabs.harvard.edu/abs/2001A%26A...379..999S,2001,30,4.53249,,882.7,0.421,1.88529,1.88529,HD 213240,40.6339,+22:31:00.49,-49:25:58.08,1.143,1.3947
47 UMa c,Fischer 2002,http://adsabs.harvard.edu/abs/2002ApJ...564.1028F,2002,,0.545774,,2391,0.098,3.57197,3.57197,47 UMa,14.0627,+10:59:28.22,+40:25:48.44,1.063,1.11869
HD 162020 b,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,2002,30,15.2138,,8.428198,0.277,0.0756944,0.0756944,HD 162020,29.4291,+17:50:38.34,-40:19:05.84,0.8,0.526361
HD 106252 b,Fischer 2002,http://adsabs.harvard.edu/abs/2002PASP..114..529F,2002,110,6.95913,,1531,0.482,2.61147,2.61147,HD 106252,37.7074,+12:13:29.50,+10:02:32.34,1.007,1.12257
HD 216437 b,Jones 2002,http://adsabs.harvard.edu/abs/2002MNRAS.337.1170J,2002,39,2.16817,,1353,0.319,2.48556,2.48556,HD 216437,26.7451,+22:54:39.56,-70:04:25.99,1.117,1.36865
HD 168746 b,Pepe 2002,http://adsabs.harvard.edu/abs/2002A%26A...388..632P,2002,16,0.245103,,6.404,0.107,0.0655505,0.0655505,HD 168746,42.735,+18:21:49.80,-11:55:21.05,0.916,0.888361
HD 68988 b,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V,2002,28,1.79992,,6.27711,0.1249,0.0692771,0.0692771,HD 68988,54.5256,+08:18:22.02,+61:27:38.32,1.124,1.10962
HD 23079 b,Tinney 2002,http://adsabs.harvard.edu/abs/2002ApJ...571..528T,2002,19,2.4433,,730.6,0.102,1.59509,1.59509,HD 23079,33.8868,+03:39:43.28,-52:54:56.21,1.012,1.16249
HD 196050 b,Jones 2002,http://adsabs.harvard.edu/abs/2002MNRAS.337.1170J,2002,44,2.8434,,1378,0.228,2.51056,2.51056,HD 196050,49.975,+20:37:51.94,-60:38:03.57,1.109,1.31321
HD 141937 b,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,2002,81,9.4752,,653.21997,0.41,1.50087,1.50087,HD 141937,32.2997,+15:52:17.49,-18:26:10.04,1.048,1.06384
HD 33636 b,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V,2002,38,9.26951,,2127.7,0.4805,3.26519,3.26519,HD 33636,28.3688,+05:11:46.34,+04:24:13.94,1.017,1.03374
HD 178911 B b,Zucker 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..363Z,2002,105,7.29127,,71.484,0.114,0.344904,0.344904,HD 178911 B,42.5894,+19:09:03.06,+34:35:57.73,1.06421,0.894377
55 Cnc c,Marcy 2002,http://adsabs.harvard.edu/abs/2004ApJ...614L..81M,2002,6663,0.164558,,44.38,0.07,0.237305,0.237305,55 Cnc,12.3411,+08:52:36.13,+28:19:53.00,0.905,0.943
HD 108147 b,Pepe 2002,http://adsabs.harvard.edu/abs/2002A%26A...388..632P,2002,54,0.257999,,10.8985,0.53,0.101407,0.101407,HD 108147,38.0807,+12:25:46.51,-64:01:18.98,1.171,1.29703
HD 39091 b,Jones 2002,http://adsabs.harvard.edu/abs/2002MNRAS.333..871J,2002,42,10.088,,2151,0.6405,3.34651,3.34651,HD 39091,18.315,+05:37:08.79,-80:28:18.03,1.071,1.14999
HD 4208 b,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V,2002,41,0.807457,,828,0.052,1.65355,1.65355,HD 4208,32.3729,+00:44:26.45,-26:30:57.76,0.879,0.876501
HD 142 b,Tinney 2002,http://adsabs.harvard.edu/abs/2002ApJ...571..528T,2002,53,1.3057,,350.3,0.26,1.04292,1.04292,HD 142,25.7136,+00:06:18.66,-49:04:30.34,1.232,1.5121
HD 50554 b,Fischer 2002,http://adsabs.harvard.edu/abs/2002PASP..114..529F,2002,51,4.39876,,1224,0.444,2.26097,2.26097,HD 50554,29.9133,+06:54:42.85,+24:14:44.85,1.025,1.25271
HD 202206 b,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,2002,,16.8244,,255.87,0.435,0.811776,0.811776,HD 202206,45.3309,+21:14:57.79,-20:47:20.11,1.074,0.985786
55 Cnc d,Marcy 2002,http://adsabs.harvard.edu/abs/2002ApJ...581.1375M,2002,663,3.54451,,4909,0.02,5.47467,5.47467,55 Cnc,12.3411,+08:52:36.13,+28:19:53.00,0.905,0.943
HD 114783 b,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V,2002,88,1.10505,,493.7,0.144,1.15987,1.15987,HD 114783,20.5002,+13:12:43.87,-02:15:54.23,0.853,0.837785
HD 4203 b,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V,2002,23,2.08215,,431.88,0.519,1.16537,1.16537,HD 4203,77.2201,+00:44:41.12,+20:26:57.22,1.13,1.15783
HD 136118 b,Fischer 2002,http://adsabs.harvard.edu/abs/2002PASP..114..529F,2002,108,11.6809,,1187.3,0.338,2.33328,2.33328,HD 136118,46.5766,+15:18:55.54,-01:35:32.80,1.191,1.75082
iota Dra b,Frink 2002,http://adsabs.harvard.edu/abs/2002ApJ...576..478F,2002,119,9.31534,,511.098,0.7124,1.31029,1.31029,iota Dra,31.027,+15:24:55.78,+58:57:57.68,1.14,11.99
HD 83443 b,Butler 2002,http://adsabs.harvard.edu/abs/2002ApJ...578..565B,2002,51,0.395855,,2.985698,0.013,0.0404623,0.0404623,HD 83443,41.1692,+09:37:11.81,-43:16:18.88,0.991,0.942509
HD 108874 b,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,2003,55,1.2902,,394.48124,0.1276,1.03527,1.03527,HD 108874,62.6174,+12:30:26.80,+22:52:48.16,0.95,1.12115
HD 37124 c,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,2003,66,0.648109,,885.5,0.125,1.70993,1.70993,HD 37124,33.67,+05:37:02.54,+20:43:54.51,0.85,0.772275
HD 30177 b,Tinney 2003,http://adsabs.harvard.edu/abs/2003ApJ...587..423T,2003,22,9.68782,,2770,0.193,3.80821,3.80821,HD 30177,52.8262,+04:41:54.30,-58:01:14.62,0.951,1.21235
HD 38529 c,Fischer 2003,http://adsabs.harvard.edu/abs/2003ApJ...586.1394F,2003,175,12.2603,,2146.0503,0.355094,3.6002,3.6002,HD 38529,39.2773,+05:46:34.96,+01:10:06.74,1.34,2.02418
HD 73256 b,Udry 2003,http://adsabs.harvard.edu/abs/2003A%26A...407..679U,2003,40,1.86902,,2.5485799,0.029,0.0371348,0.0371348,HD 73256,37.7644,+08:36:23.14,-30:02:16.03,1.05,1.21851
HD 76700 b,Tinney 2003,http://adsabs.harvard.edu/abs/2003ApJ...587..423T,2003,35,0.232142,,3.97097,0.095,0.0511051,0.0511051,HD 76700,60.2773,+08:53:55.93,-66:48:04.63,1.129,1.2353
HD 190228 b,Perrier 2003,http://adsabs.harvard.edu/abs/2003A%26A...410.1039P,2003,101,5.94193,,1136.1,0.531,2.60478,2.60478,HD 190228,61.6143,+20:03:00.70,+28:18:25.30,1.821,1.73503
HD 40979 b,Fischer 2003,http://adsabs.harvard.edu/abs/2003ApJ...586.1394F,2003,160,4.02224,,264.15,0.252,0.846038,0.846038,HD 40979,33.1126,+06:04:29.87,+44:15:38.93,1.154,1.27973
HD 70642 b,Carter 2003,http://adsabs.harvard.edu/abs/2003ApJ...593L..43C,2003,28,1.90944,,2068,0.034,3.18072,3.18072,HD 70642,28.0662,+08:21:28.29,-39:42:21.45,1.002,1.03139
HD 2039 b,Tinney 2003,http://adsabs.harvard.edu/abs/2003ApJ...587..423T,2003,41,5.92499,,1120,0.715,2.19755,2.19755,HD 2039,102.564,+00:24:20.19,-56:39:00.30,1.123,1.1465
HD 104985 b,Sato 2003,http://adsabs.harvard.edu/abs/2003ApJ...597L.157S,2003,52,4.9174,,199.505,0.09,0.678014,0.678014,HD 104985,97.0874,+12:05:14.74,+76:54:21.45,1.04,7.09522
HD 3651 b,Fischer 2003,http://adsabs.harvard.edu/abs/2003ApJ...590.1081F,2003,202,0.228975,,62.218,0.596,0.29472,0.29472,HD 3651,11.0595,+00:39:22.09,+21:15:04.95,0.882,0.934685
HD 23596 b,Perrier 2003,http://adsabs.harvard.edu/abs/2003A%26A...410.1039P,2003,108,7.74272,,1561,0.266,2.77219,2.77219,HD 23596,50.4286,+03:48:00.33,+40:31:50.10,1.159,1.96615
HD 114729 b,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,2003,42,0.944758,,1114,0.167,2.10235,2.10235,HD 114729,36.1141,+13:12:44.40,-31:52:21.36,0.998,1.46377
HD 72659 b,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,2003,50,3.1741,,3658,0.22,4.75375,4.75375,HD 72659,49.8256,+08:34:03.26,-01:34:04.72,1.068,1.34287
HD 49674 b,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,2003,39,0.101571,,4.94737,0.087,0.0571073,0.0571073,HD 49674,44.2282,+06:51:30.49,+40:52:05.00,1.015,0.889525
HD 73526 b,Tinney 2003,http://adsabs.harvard.edu/abs/2003ApJ...587..423T,2003,30,2.8556,,188.3,0.19,0.646509,0.646509,HD 73526,100.705,+08:37:16.53,-41:19:10.18,1.014,1.45542
HD 128311 b,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,2003,154,1.4572,,454.2,0.345,1.08649,1.08649,HD 128311,16.5016,+14:36:00.44,+09:44:49.65,0.828,0.58322
tau Gru b,Jones 2003,http://adsabs.harvard.edu/abs/2003MNRAS.341..948J,2003,58,1.2147,,1311,0.07,2.51797,2.51797,tau Gru,32.6158,+22:53:37.74,-48:35:53.12,1.238,1.54911
HD 190360 b,Naef 2003,http://adsabs.harvard.edu/abs/2003A%26A...410.1051N,2003,107,1.53512,,2915.0369,0.313105,3.97285,3.97285,HD 190360,15.8579,+20:03:36.95,+29:53:53.09,0.983,1.07528
HD 8574 b,Perrier 2003,http://adsabs.harvard.edu/abs/2003A%26A...410.1039P,2003,128,1.80603,,227,0.297,0.757141,0.757141,HD 8574,44.5633,+01:25:12.35,+28:34:01.48,1.122,1.42266
14 Her b,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,2003,49,5.21486,,1773.4,0.369,2.93362,2.93362,14 Her,17.5716,+16:10:24.21,+43:49:06.13,1.066,0.912364
OGLE-TR-56 b,Konacki 2003,http://adsabs.harvard.edu/abs/2003Natur.421..507K,2003,,1.39,1.363,1.211909,0,0.0238308,0.0238308,OGLE-TR-56,1500,17:56:35.510,-29:32:21.2,1.228,1.363
HD 12661 c,Fischer 2003,http://adsabs.harvard.edu/abs/2003ApJ...586.1394F,2003,107,1.9487,,1707.8812,0.0312556,2.91927,2.91927,HD 12661,34.9528,+02:04:34.36,+25:24:53.03,1.136,1.06782
HD 74156 c,Naef 2004,http://adsabs.harvard.edu/abs/2004A%26A...414..351N,2004,206,8.24664,,2520,0.38,3.8997,3.8997,HD 74156,64.433,+08:42:25.11,+04:34:42.91,1.238,1.345
HD 169830 c,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,2004,112,4.06407,,2102,0.33,3.60184,3.60184,HD 169830,36.6032,+18:27:49.48,-29:49:00.85,1.407,1.80318
HD 330075 b,Pepe 2004,http://adsabs.harvard.edu/abs/2004A%26A...423..385P,2004,21,0.623724,,3.38773,0,0.0392074,0.0392074,HD 330075,49.6032,+15:49:37.90,-49:57:47.87,0.7,1.20726
OGLE235-MOA53 b,Bond 2004,http://adsabs.harvard.edu/abs/2004ApJ...606L.155B,2004,,2.6,,,,,4.3,OGLE235-MOA53,5200,18:05:16.350,-28:53:42.0,0.63,
HD 19994 b,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,2004,116,1.32681,,466.2,0.266,1.30567,1.30567,HD 19994,22.5785,+03:12:46.32,-01:11:45.36,1.365,1.40403
OGLE-TR-111 b,Pont 2004,http://adsabs.harvard.edu/abs/2004A%26A...426L..15P,2004,8,0.55,1.051,4.0144479,0,0.0468733,0.0468733,OGLE-TR-111,,10:53:17.910,-61:24:20.3,0.852,0.831
HD 74156 b,Naef 2004,http://adsabs.harvard.edu/abs/2004A%26A...414..351N,2004,206,1.77342,,51.638,0.63,0.291535,0.291535,HD 74156,64.433,+08:42:25.11,+04:34:42.91,1.238,1.345
HD 216770 b,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,2004,16,0.646927,,118.45,0.37,0.455837,0.455837,HD 216770,35.5745,+22:55:53.56,-26:39:29.99,0.9,1.03957
HD 114386 b,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,2004,58,1.3637,,937.70001,0.23,1.72685,1.72685,HD 114386,28.8934,+13:10:39.92,-35:03:14.37,0.78,0.637212
OGLE-TR-113 b,Konacki 2004; Bouchy 2004,http://adsabs.harvard.edu/abs/2004ApJ...609L..37K ; http://adsabs.harvard.edu/abs/2004A%26A...421L..13B,2004,,1.26,1.093,1.4324757,0,0.0228946,0.0228946,OGLE-TR-113,600,10:52:24.400,-61:26:48.5,0.779,0.774
mu Ara c,McCarthy 2004,http://adsabs.harvard.edu/abs/2004ApJ...617..575M,2004,170,1.88907,,4205.8,0.0985,5.34057,5.34057,mu Ara,15.5111,+17:44:08.72,-51:50:00.92,1.147,1.25035
55 Cnc e,McArthur 2004,http://adsabs.harvard.edu/abs/2004ApJ...614L..81M,2004,663,0.0263672,0.185565,0.736546,0,0.0154393,0.0154393,55 Cnc,12.3411,+08:52:36.13,+28:19:53.00,0.905,0.943
HD 82943 c,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,2004,155,1.58936,,219.3,0.425,0.742283,0.742283,HD 82943,27.4725,+09:34:50.73,-12:07:44.84,1.133,1.09738
HD 82943 b,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,2004,155,1.68512,,442.4,0.203,1.1851,1.1851,HD 82943,27.4725,+09:34:50.73,-12:07:44.84,1.133,1.09738
HD 147513 b,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,2004,30,1.17965,,528.40002,0.26,1.30958,1.30958,HD 147513,12.7779,+16:24:01.24,-39:11:34.76,1.072,0.850084
GJ 436 b,Butler 2004,http://adsabs.harvard.edu/abs/2004ApJ...617..580B,2004,59,0.0726979,0.3767,2.64385,0.16,0.0287188,0.0287188,GJ 436,10.141,+11:42:10.51,+26:42:30.77,0.452,0.464
HD 121504 b,Mayor 2004,http://adsabs.harvard.edu/abs/2004A&A...415..391M,2004,100,1.2223,,63.330002,0.03,0.328688,0.328688,HD 121504,45.106,+13:57:17.50,-56:02:23.42,1.18,0.844267
HD 6434 b,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,2004,130,0.397195,,21.997999,0.17,0.142061,0.142061,HD 6434,41.3736,+01:04:40.28,-39:29:12.97,0.79,0.80278
